Serial No,Company,Ticker,Industry,Stock Exchange
1,Microsoft Corp,MSFT,Information Technology,NASDAQ
2,Apple Inc.,AAPL,Information Technology,NASDAQ
3,Nvidia Corp,NVDA,Information Technology,NASDAQ
4,Amazon.com Inc,AMZN,Consumer Discretionary,NASDAQ
5,Alphabet Inc A,GOOGL,Communication Services,NASDAQ
6,"Meta Platforms, Inc. Class A",META,Communication Services,NASDAQ
7,Alphabet Inc C,GOOG,Communication Services,NASDAQ
8,Berkshire Hathaway B,BRK-B,Financials,NYSE
9,Eli Lilly & Co,LLY,Health Care,NYSE
10,Broadcom Inc,AVGO,Information Technology,NASDAQ
